n_param,density,seed,n_traversable,d_shortest,path_length,reactions,gradient_reactions,agent_moves,tagging_reactions,termination_reactions,final_time,reached,first_gradient_time,first_tagging_time,first_agent_move_time,reached_time
15,0.2,21,180,28,30,238,207,29,1,1,34.194872590838315,True,0.044718313135184096,1.9881391002771354,8.370409793822752,34.194872590838315
15,0.2,22,180,28,30,237,206,29,1,1,29.513929619193657,True,0.044718313135184096,1.5570553222685974,3.6171216277187366,29.513929619193657
15,0.2,23,183,28,34,249,214,33,1,1,32.10845499337636,True,0.044718313135184096,2.330684231886917,3.1749144523202695,32.10845499337636
15,0.2,24,184,28,30,241,210,29,1,1,36.869716834588644,True,0.044718313135184096,2.05522613103805,9.864532069280548,36.869716834588644
15,0.2,25,172,28,32,228,195,31,1,1,29.344808552241258,True,0.044718313135184096,2.073836409995179,3.1877797676294533,29.344808552241258
15,0.2,26,182,28,30,240,209,29,1,1,28.883829091050373,True,0.044718313135184096,2.3018673650117494,2.9209242932597834,28.883829091050373
15,0.2,27,182,28,30,240,209,29,1,1,28.883829091050373,True,0.044718313135184096,2.3018673650117494,2.9209242932597834,28.883829091050373
15,0.2,28,188,28,32,250,217,31,1,1,32.03379643761223,True,0.044718313135184096,2.919757241585124,3.582468315691668,32.03379643761223
15,0.2,29,188,28,32,250,217,31,1,1,32.03379643761223,True,0.044718313135184096,2.919757241585124,3.582468315691668,32.03379643761223
15,0.3,0,169,28,32,228,195,31,1,1,37.74292667406816,True,0.044718313135184096,1.42175048761518,1.6237392194980538,37.74292667406816
15,0.3,1,157,28,28,205,176,27,1,1,32.97016474294943,True,0.044718313135184096,2.8155867787461872,4.8233321187605,32.97016474294943
15,0.3,2,167,28,30,204,173,29,1,1,27.10319471062334,True,0.044718313135184096,7.16229282430231,7.422205107409061,27.10319471062334
15,0.3,3,167,28,30,204,173,29,1,1,27.10319471062334,True,0.044718313135184096,7.16229282430231,7.422205107409061,27.10319471062334
15,0.3,4,160,28,28,209,180,27,1,1,25.472082463179646,True,0.044718313135184096,1.9153091503272024,2.175221433433954,25.472082463179646
15,0.3,5,160,28,28,209,180,27,1,1,25.472082463179646,True,0.044718313135184096,1.9153091503272024,2.175221433433954,25.472082463179646
15,0.3,6,165,28,34,230,195,33,1,1,26.10863879474041,True,0.044718313135184096,2.09416797078014,2.9946409903013214,26.10863879474041
15,0.3,7,165,28,34,230,195,33,1,1,26.10863879474041,True,0.044718313135184096,2.09416797078014,2.9946409903013214,26.10863879474041
15,0.3,8,165,28,34,230,195,33,1,1,26.10863879474041,True,0.044718313135184096,2.09416797078014,2.9946409903013214,26.10863879474041
15,0.3,9,165,28,34,230,195,33,1,1,26.10863879474041,True,0.044718313135184096,2.09416797078014,2.9946409903013214,26.10863879474041
15,0.3,10,165,28,34,230,195,33,1,1,26.10863879474041,True,0.044718313135184096,2.09416797078014,2.9946409903013214,26.10863879474041
15,0.3,11,153,28,28,204,175,27,1,1,32.87242096485537,True,0.044718313135184096,2.217657778166866,3.369110253026591,32.87242096485537
15,0.3,12,153,28,28,204,175,27,1,1,32.87242096485537,True,0.044718313135184096,2.217657778166866,3.369110253026591,32.87242096485537
15,0.3,13,153,28,28,204,175,27,1,1,32.87242096485537,True,0.044718313135184096,2.217657778166866,3.369110253026591,32.87242096485537
15,0.3,14,153,28,28,204,175,27,1,1,32.87242096485537,True,0.044718313135184096,2.217657778166866,3.369110253026591,32.87242096485537
15,0.3,15,164,28,28,202,173,27,1,1,33.320119003850095,True,0.044718313135184096,2.5684388358927337,4.727541347818224,33.320119003850095
15,0.3,16,164,28,28,202,173,27,1,1,33.320119003850095,True,0.044718313135184096,2.5684388358927337,4.727541347818224,33.320119003850095
15,0.3,17,164,28,28,202,173,27,1,1,33.320119003850095,True,0.044718313135184096,2.5684388358927337,4.727541347818224,33.320119003850095
15,0.3,18,159,28,32,220,187,31,1,1,32.94240449420029,True,0.044718313135184096,2.896694928115542,4.181587793866376,32.94240449420029
15,0.3,19,159,28,32,220,187,31,1,1,32.94240449420029,True,0.044718313135184096,2.896694928115542,4.181587793866376,32.94240449420029
15,0.3,20,159,28,32,220,187,31,1,1,32.94240449420029,True,0.044718313135184096,2.896694928115542,4.181587793866376,32.94240449420029
15,0.3,21,159,28,32,220,187,31,1,1,32.94240449420029,True,0.044718313135184096,2.896694928115542,4.181587793866376,32.94240449420029
15,0.3,22,161,28,28,186,157,27,1,1,28.324645064639736,True,0.044718313135184096,2.8015461432746607,3.1995041657546874,28.324645064639736
15,0.3,23,160,28,30,197,166,29,1,1,27.08958850117086,True,0.044718313135184096,1.8648143800421508,4.478545058702228,27.08958850117086
15,0.3,24,159,32,40,235,194,39,1,1,39.14903171856255,True,0.044718313135184096,2.8388351291289964,3.2896427820322653,39.14903171856255
15,0.3,25,163,28,28,216,187,27,1,1,16.51549939237691,True,0.044718313135184096,1.4051776079682103,1.8298617476002783,16.51549939237691
15,0.3,26,163,28,28,216,187,27,1,1,16.51549939237691,True,0.044718313135184096,1.4051776079682103,1.8298617476002783,16.51549939237691
15,0.3,27,163,28,28,216,187,27,1,1,16.51549939237691,True,0.044718313135184096,1.4051776079682103,1.8298617476002783,16.51549939237691
15,0.3,28,158,28,30,208,177,29,1,1,23.818115624569018,True,0.044718313135184096,2.082704742189933,4.317295002951326,23.818115624569018
15,0.3,29,158,28,30,208,177,29,1,1,23.818115624569018,True,0.044718313135184096,2.082704742189933,4.317295002951326,23.818115624569018
20,0.0,0,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,1,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,2,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,3,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,4,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,5,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,6,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,7,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,8,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,9,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,10,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,11,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,12,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,13,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,14,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,15,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,16,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,17,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
20,0.0,18,400,38,44,486,441,43,1,1,45.4644844443405,True,0.044718313135184096,1.9068835187086992,2.4087051478119883,45.4644844443405
